what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1362248566152
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1362248566152
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1362248566153
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1362248566153
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1362248566154
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1362248566154
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1362248566155
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1362248566155
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1362248566156
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1362248566157
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1362248566157
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1362248566157
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1362248566157
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1362248566158
os,sysinfo,,,"win32",1362248566161
arch,sysinfo,,,"x86",1362248566161
ws,sysinfo,,,"win32",1362248566161
locale,sysinfo,,,"sv_SE",1362248566161
processors,sysinfo,,,"4",1362248566161
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362248566161
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1362248566161
java.specification.name,sysinfo,,,"Java Platform API Specification",1362248566161
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362248566161
java.specification.version,sysinfo,,,"1.6",1362248566161
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1362248566161
java.version,sysinfo,,,"1.6.0_23",1362248566161
java.vm.info,sysinfo,,,"mixed mode",1362248566161
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1362248566161
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362248566161
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362248566161
java.vm.specification.version,sysinfo,,,"1.0",1362248566161
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1362248566161
java.vm.version,sysinfo,,,"19.0-b09",1362248566161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362248573110
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1362248576700
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1362248576740
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1362248576757
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362248728781
